name,WKT
Earl's Court,"POLYGON((-0.1880647 51.4915767, -0.18808688491012512 51.49189307534618, -0.18815327079993882 51.492207042884935, -0.18826335243273473 51.492516213133726, -0.18841629202081817 51.492818233120275, -0.18861092560157633 51.49311080429012, -0.18884577189593674 51.493391700000004, -0.18911904358179518 51.49365878246396, -0.18942866089661636 51.49391001902317, -0.18977226746568243 51.49414349761571, -0.19014724823552748 51.494357441328525, -0.19055074937607341 51.494550221920775, -0.1909797 51.49472037221574, -0.1914308355340517 51.49486659726695, -0.19190072256441135 51.49498778421346, -0.1923857849670523 51.49508301074943, -0.1928823311242018 51.49515155214344, -0.19338658201978115 51.495192886754076, -0.1938947 51.495206700000004, -0.19440281798021886 51.495192886754076, -0.1949070688757982 51.49515155214344, -0.1954036150329477 51.49508301074943, -0.19588867743558866 51.49498778421346, -0.1963585644659483 51.49486659726695, -0.1968097 51.49472037221574, -0.1972386506239266 51.494550221920775, -0.19764215176447253 51.494357441328525, -0.19801713253431757 51.49414349761571, -0.19836073910338364 51.49391001902317, -0.19867035641820482 51.49365878246396, -0.19894362810406327 51.493391700000004, -0.19917847439842368 51.49311080429012, -0.19937310797918184 51.492818233120275, -0.19952604756726527 51.492516213133726, -0.19963612920006119 51.492207042884935, -0.19970251508987488 51.49189307534618, -0.1997247 51.4915767, -0.19970251508987488 51.49126032465383, -0.19963612920006119 51.49094635711507, -0.19952604756726527 51.49063718686628, -0.19937310797918184 51.49033516687973, -0.19917847439842368 51.49004259570989, -0.19894362810406327 51.4897617, -0.19867035641820482 51.489494617536046, -0.19836073910338364 51.48924338097684, -0.19801713253431757 51.489009902384296, -0.19764215176447253 51.48879595867148, -0.1972386506239266 51.48860317807923, -0.1968097 51.48843302778427, -0.1963585644659483 51.48828680273306, -0.19588867743558866 51.48816561578655, -0.1954036150329477 51.488070389250574, -0.1949070688757982 51.488001847856566, -0.19440281798021886 51.48796051324593, -0.1938947 51.4879467, -0.19338658201978115 51.48796051324593, -0.1928823311242018 51.488001847856566, -0.1923857849670523 51.488070389250574, -0.19190072256441135 51.48816561578655, -0.1914308355340517 51.48828680273306, -0.1909797 51.48843302778427, -0.19055074937607341 51.48860317807923, -0.19014724823552748 51.48879595867148, -0.18977226746568243 51.489009902384296, -0.18942866089661636 51.48924338097684, -0.18911904358179518 51.489494617536046, -0.18884577189593674 51.4897617, -0.18861092560157633 51.49004259570989, -0.18841629202081817 51.49033516687973, -0.18826335243273473 51.49063718686628, -0.18815327079993882 51.49094635711507, -0.18808688491012512 51.49126032465383, -0.1880647 51.4915767))"
Elephant & Castle,"POLYGON((-0.094499 51.4946011, -0.09452118491012512 51.49491747534617, -0.09458757079993883 51.49523144288493, -0.09469765243273473 51.49554061313372, -0.09485059202081815 51.49584263312027, -0.09504522560157633 51.49613520429011, -0.09528007189593672 51.4964161, -0.09555334358179518 51.496683182463954, -0.09586296089661636 51.49693441902316, -0.09620656746568243 51.497167897615704, -0.09658154823552748 51.49738184132852, -0.0969850493760734 51.49757462192077, -0.097414 51.49774477221573, -0.09786513553405173 51.49789099726694, -0.09833502256441135 51.49801218421345, -0.0988200849670523 51.49810741074943, -0.0993166311242018 51.498175952143434, -0.09982088201978115 51.49821728675407, -0.100329 51.4982311, -0.10083711798021885 51.49821728675407, -0.1013413688757982 51.498175952143434, -0.1018379150329477 51.49810741074943, -0.10232297743558866 51.49801218421345, -0.10279286446594828 51.49789099726694, -0.103244 51.49774477221573, -0.1036729506239266 51.49757462192077, -0.10407645176447253 51.49738184132852, -0.10445143253431757 51.497167897615704, -0.10479503910338364 51.49693441902316, -0.10510465641820482 51.496683182463954, -0.10537792810406328 51.4964161, -0.10561277439842368 51.49613520429011, -0.10580740797918185 51.49584263312027, -0.10596034756726527 51.49554061313372, -0.10607042920006117 51.49523144288493, -0.10613681508987488 51.49491747534617, -0.106159 51.4946011, -0.10613681508987488 51.494284724653824, -0.10607042920006117 51.493970757115065, -0.10596034756726527 51.493661586866274, -0.10580740797918185 51.493359566879725, -0.10561277439842368 51.49306699570988, -0.10537792810406328 51.4927861, -0.10510465641820482 51.49251901753604, -0.10479503910338364 51.49226778097683, -0.10445143253431757 51.49203430238429, -0.10407645176447253 51.491820358671475, -0.1036729506239266 51.491627578079225, -0.103244 51.49145742778426, -0.10279286446594828 51.49131120273305, -0.10232297743558864 51.49119001578654, -0.1018379150329477 51.49109478925057, -0.1013413688757982 51.49102624785656, -0.10083711798021885 51.490984913245924, -0.100329 51.490971099999996, -0.09982088201978116 51.490984913245924, -0.0993166311242018 51.49102624785656, -0.0988200849670523 51.49109478925057, -0.09833502256441135 51.49119001578654, -0.09786513553405173 51.49131120273305, -0.097414 51.49145742778426, -0.0969850493760734 51.491627578079225, -0.09658154823552748 51.491820358671475, -0.09620656746568243 51.49203430238429, -0.09586296089661636 51.49226778097683, -0.09555334358179518 51.49251901753604, -0.09528007189593672 51.4927861, -0.09504522560157633 51.49306699570988, -0.09485059202081815 51.493359566879725, -0.09469765243273473 51.493661586866274, -0.09458757079993883 51.493970757115065, -0.09452118491012512 51.494284724653824, -0.094499 51.4946011))"
Kennington,"POLYGON((-0.099784 51.48827370000001, -0.09980618491012512 51.48859007534618, -0.09987257079993883 51.48890404288494, -0.09998265243273473 51.48921321313373, -0.10013559202081815 51.48951523312028, -0.10033022560157633 51.48980780429012, -0.10056507189593672 51.49008870000001, -0.10083834358179518 51.490355782463965, -0.10114796089661636 51.49060701902317, -0.10149156746568243 51.490840497615714, -0.10186654823552747 51.49105444132853, -0.1022700493760734 51.49124722192078, -0.102699 51.49141737221574, -0.10315013553405172 51.49156359726695, -0.10362002256441136 51.49168478421346, -0.1041050849670523 51.49178001074944, -0.10460163112420179 51.491848552143445, -0.10510588201978115 51.49188988675408, -0.105614 51.49190370000001, -0.10612211798021885 51.49188988675408, -0.1066263688757982 51.491848552143445, -0.1071229150329477 51.49178001074944, -0.10760797743558866 51.49168478421346, -0.10807786446594828 51.49156359726695, -0.108529 51.49141737221574, -0.1089579506239266 51.49124722192078, -0.10936145176447253 51.49105444132853, -0.10973643253431757 51.490840497615714, -0.11008003910338364 51.49060701902317, -0.11038965641820482 51.490355782463965, -0.11066292810406328 51.49008870000001, -0.11089777439842367 51.48980780429012, -0.11109240797918185 51.48951523312028, -0.11124534756726527 51.48921321313373, -0.11135542920006117 51.48890404288494, -0.11142181508987488 51.48859007534618, -0.111444 51.48827370000001, -0.11142181508987488 51.487957324653834, -0.11135542920006117 51.487643357115076, -0.11124534756726527 51.487334186866285, -0.11109240797918185 51.487032166879736, -0.11089777439842367 51.48673959570989, -0.11066292810406328 51.48645870000001, -0.11038965641820482 51.48619161753605, -0.11008003910338364 51.48594038097684, -0.10973643253431757 51.4857069023843, -0.10936145176447253 51.485492958671486, -0.1089579506239266 51.485300178079235, -0.108529 51.48513002778427, -0.10807786446594828 51.48498380273306, -0.10760797743558864 51.484862615786554, -0.1071229150329477 51.48476738925058, -0.1066263688757982 51.48469884785657, -0.10612211798021885 51.484657513245935, -0.105614 51.48464370000001, -0.10510588201978116 51.484657513245935, -0.1046016311242018 51.48469884785657, -0.1041050849670523 51.48476738925058, -0.10362002256441134 51.484862615786554, -0.10315013553405172 51.48498380273306, -0.102699 51.48513002778427, -0.1022700493760734 51.485300178079235, -0.10186654823552747 51.485492958671486, -0.10149156746568243 51.4857069023843, -0.10114796089661636 51.48594038097684, -0.10083834358179518 51.48619161753605, -0.10056507189593672 51.48645870000001, -0.10033022560157633 51.48673959570989, -0.10013559202081815 51.487032166879736, -0.09998265243273473 51.487334186866285, -0.09987257079993883 51.487643357115076, -0.09980618491012512 51.487957324653834, -0.099784 51.48827370000001))"
Notting Hill Gate,"POLYGON((-0.1905194 51.5091207, -0.19054158491012513 51.50943707534617, -0.19060797079993883 51.50975104288493, -0.19071805243273474 51.51006021313372, -0.19087099202081817 51.51036223312027, -0.19106562560157633 51.51065480429011, -0.19130047189593674 51.5109357, -0.1915737435817952 51.511202782463954, -0.19188336089661637 51.51145401902316, -0.19222696746568244 51.5116874976157, -0.19260194823552748 51.51190144132852, -0.19300544937607342 51.51209422192077, -0.1934344 51.51226437221573, -0.19388553553405172 51.51241059726694, -0.19435542256441135 51.51253178421345, -0.1948404849670523 51.512627010749426, -0.1953370311242018 51.512695552143434, -0.19584128201978115 51.51273688675407, -0.1963494 51.5127507, -0.19685751798021886 51.51273688675407, -0.1973617688757982 51.512695552143434, -0.1978583150329477 51.512627010749426, -0.19834337743558866 51.51253178421345, -0.1988132644659483 51.51241059726694, -0.1992644 51.51226437221573, -0.1996933506239266 51.51209422192077, -0.20009685176447253 51.51190144132852, -0.20047183253431758 51.5116874976157, -0.20081543910338365 51.51145401902316, -0.20112505641820483 51.511202782463954, -0.20139832810406327 51.5109357, -0.20163317439842368 51.51065480429011, -0.20182780797918184 51.51036223312027, -0.20198074756726528 51.51006021313372, -0.2020908292000612 51.50975104288493, -0.2021572150898749 51.50943707534617, -0.2021794 51.5091207, -0.2021572150898749 51.50880432465382, -0.2020908292000612 51.508490357115065, -0.20198074756726528 51.508181186866274, -0.20182780797918184 51.507879166879725, -0.20163317439842368 51.50758659570988, -0.20139832810406327 51.507305699999996, -0.20112505641820483 51.50703861753604, -0.20081543910338365 51.50678738097683, -0.20047183253431758 51.50655390238429, -0.20009685176447253 51.506339958671475, -0.1996933506239266 51.506147178079225, -0.1992644 51.50597702778426, -0.19881326446594827 51.50583080273305, -0.19834337743558866 51.50570961578654, -0.1978583150329477 51.50561438925057, -0.1973617688757982 51.50554584785656, -0.19685751798021886 51.505504513245924, -0.1963494 51.505490699999996, -0.19584128201978115 51.505504513245924, -0.1953370311242018 51.50554584785656, -0.1948404849670523 51.50561438925057, -0.19435542256441135 51.50570961578654, -0.19388553553405172 51.50583080273305, -0.1934344 51.50597702778426, -0.19300544937607342 51.506147178079225, -0.19260194823552748 51.506339958671475, -0.19222696746568244 51.50655390238429, -0.19188336089661637 51.50678738097683, -0.1915737435817952 51.50703861753604, -0.19130047189593674 51.507305699999996, -0.19106562560157633 51.50758659570988, -0.19087099202081817 51.507879166879725, -0.19071805243273474 51.508181186866274, -0.19060797079993883 51.508490357115065, -0.19054158491012513 51.50880432465382, -0.1905194 51.5091207))"
Vauxhall,"POLYGON((-0.11809789999999999 51.4859811, -0.11812008491012511 51.48629747534617, -0.11818647079993883 51.48661144288493, -0.11829655243273472 51.48692061313372, -0.11844949202081814 51.48722263312027, -0.11864412560157632 51.48751520429011, -0.11887897189593671 51.4877961, -0.11915224358179517 51.488063182463954, -0.11946186089661635 51.48831441902316, -0.11980546746568242 51.4885478976157, -0.12018044823552747 51.48876184132852, -0.12058394937607339 51.48895462192077, -0.12101289999999999 51.48912477221573, -0.12146403553405172 51.48927099726694, -0.12193392256441135 51.48939218421345, -0.1224189849670523 51.489487410749426, -0.12291553112420178 51.489555952143434, -0.12341978201978114 51.48959728675407, -0.1239279 51.4896111, -0.12443601798021885 51.48959728675407, -0.12494026887579819 51.489555952143434, -0.12543681503294768 51.489487410749426, -0.12592187743558864 51.48939218421345, -0.12639176446594827 51.48927099726694, -0.12684289999999998 51.48912477221573, -0.1272718506239266 51.48895462192077, -0.1276753517644725 51.48876184132852, -0.12805033253431758 51.4885478976157, -0.12839393910338365 51.48831441902316, -0.12870355641820483 51.488063182463954, -0.12897682810406327 51.4877961, -0.12921167439842365 51.48751520429011, -0.12940630797918184 51.48722263312027, -0.12955924756726525 51.48692061313372, -0.12966932920006116 51.48661144288493, -0.12973571508987486 51.48629747534617, -0.12975789999999998 51.4859811, -0.12973571508987486 51.48566472465382, -0.12966932920006116 51.485350757115064, -0.12955924756726525 51.485041586866274, -0.12940630797918184 51.484739566879725, -0.12921167439842365 51.48444699570988, -0.12897682810406327 51.484166099999996, -0.12870355641820483 51.48389901753604, -0.12839393910338365 51.48364778097683, -0.12805033253431758 51.48341430238429, -0.1276753517644725 51.483200358671475, -0.1272718506239266 51.483007578079224, -0.1268429 51.48283742778426, -0.12639176446594827 51.48269120273305, -0.12592187743558864 51.48257001578654, -0.12543681503294768 51.48247478925057, -0.12494026887579819 51.48240624785656, -0.12443601798021885 51.482364913245924, -0.1239279 51.482351099999995, -0.12341978201978115 51.482364913245924, -0.1229155311242018 51.48240624785656, -0.1224189849670523 51.48247478925057, -0.12193392256441134 51.48257001578654, -0.12146403553405172 51.48269120273305, -0.12101289999999999 51.48283742778426, -0.12058394937607339 51.483007578079224, -0.12018044823552747 51.483200358671475, -0.11980546746568242 51.48341430238429, -0.11946186089661635 51.48364778097683, -0.11915224358179517 51.48389901753604, -0.11887897189593671 51.484166099999996, -0.11864412560157632 51.48444699570988, -0.11844949202081814 51.484739566879725, -0.11829655243273472 51.485041586866274, -0.11818647079993883 51.485350757115064, -0.11812008491012511 51.48566472465382, -0.11809789999999999 51.4859811))"
Arsenal,"POLYGON((-0.0998324 51.5584175, -0.09985458491012512 51.55873387534617, -0.09992097079993884 51.55904784288493, -0.10003105243273473 51.55935701313372, -0.10018399202081815 51.55965903312027, -0.10037862560157633 51.55995160429011, -0.10061347189593672 51.5602325, -0.10088674358179518 51.560499582463954, -0.10119636089661636 51.56075081902316, -0.10153996746568243 51.560984297615704, -0.10191494823552748 51.56119824132852, -0.1023184493760734 51.56139102192077, -0.1027474 51.56156117221573, -0.10319853553405173 51.56170739726694, -0.10366842256441136 51.56182858421345, -0.1041534849670523 51.56192381074943, -0.10465003112420179 51.561992352143434, -0.10515428201978115 51.56203368675407, -0.1056624 51.5620475, -0.10617051798021886 51.56203368675407, -0.1066747688757982 51.561992352143434, -0.1071713150329477 51.56192381074943, -0.10765637743558866 51.56182858421345, -0.10812626446594828 51.56170739726694, -0.1085774 51.56156117221573, -0.1090063506239266 51.56139102192077, -0.10940985176447253 51.56119824132852, -0.10978483253431758 51.560984297615704, -0.11012843910338364 51.56075081902316, -0.11043805641820482 51.560499582463954, -0.11071132810406328 51.5602325, -0.11094617439842368 51.55995160429011, -0.11114080797918185 51.55965903312027, -0.11129374756726527 51.55935701313372, -0.11140382920006117 51.55904784288493, -0.11147021508987488 51.55873387534617, -0.1114924 51.5584175, -0.11147021508987488 51.558101124653824, -0.11140382920006117 51.557787157115065, -0.11129374756726527 51.557477986866274, -0.11114080797918185 51.557175966879726, -0.11094617439842368 51.55688339570988, -0.11071132810406328 51.5566025, -0.11043805641820482 51.55633541753604, -0.11012843910338364 51.55608418097683, -0.10978483253431758 51.55585070238429, -0.10940985176447253 51.555636758671476, -0.1090063506239266 51.555443978079225, -0.1085774 51.55527382778426, -0.10812626446594828 51.55512760273305, -0.10765637743558865 51.55500641578654, -0.1071713150329477 51.55491118925057, -0.1066747688757982 51.55484264785656, -0.10617051798021886 51.554801313245925, -0.1056624 51.554787499999996, -0.10515428201978116 51.554801313245925, -0.1046500311242018 51.55484264785656, -0.1041534849670523 51.55491118925057, -0.10366842256441135 51.55500641578654, -0.10319853553405173 51.55512760273305, -0.1027474 51.55527382778426, -0.1023184493760734 51.555443978079225, -0.10191494823552748 51.555636758671476, -0.10153996746568243 51.55585070238429, -0.10119636089661636 51.55608418097683, -0.10088674358179518 51.55633541753604, -0.10061347189593672 51.5566025, -0.10037862560157633 51.55688339570988, -0.10018399202081815 51.557175966879726, -0.10003105243273473 51.557477986866274, -0.09992097079993884 51.557787157115065, -0.09985458491012512 51.558101124653824, -0.0998324 51.5584175))"
Barons Court,"POLYGON((-0.2077606 51.4903156, -0.2077827849101251 51.490631975346176, -0.2078491707999388 51.490945942884935, -0.20795925243273472 51.491255113133725, -0.20811219202081815 51.491557133120274, -0.20830682560157632 51.49184970429012, -0.20854167189593673 51.4921306, -0.20881494358179517 51.49239768246396, -0.20912456089661635 51.49264891902317, -0.20946816746568242 51.49288239761571, -0.20984314823552747 51.493096341328524, -0.2102466493760734 51.493289121920775, -0.2106756 51.49345927221574, -0.2111267355340517 51.49360549726695, -0.21159662256441134 51.493726684213456, -0.2120816849670523 51.49382191074943, -0.2125782311242018 51.49389045214344, -0.21308248201978114 51.493931786754075, -0.2135906 51.4939456, -0.21409871798021884 51.493931786754075, -0.2146029688757982 51.49389045214344, -0.2150995150329477 51.49382191074943, -0.21558457743558865 51.493726684213456, -0.21605446446594828 51.49360549726695, -0.2165056 51.49345927221574, -0.21693455062392658 51.493289121920775, -0.21733805176447252 51.493096341328524, -0.21771303253431756 51.49288239761571, -0.21805663910338363 51.49264891902317, -0.2183662564182048 51.49239768246396, -0.21863952810406326 51.4921306, -0.21887437439842367 51.49184970429012, -0.21906900797918183 51.491557133120274, -0.21922194756726526 51.491255113133725, -0.21933202920006117 51.490945942884935, -0.21939841508987487 51.490631975346176, -0.2194206 51.4903156, -0.21939841508987487 51.48999922465383, -0.21933202920006117 51.48968525711507, -0.21922194756726526 51.48937608686628, -0.21906900797918183 51.48907406687973, -0.21887437439842367 51.48878149570989, -0.21863952810406326 51.4885006, -0.2183662564182048 51.488233517536045, -0.21805663910338363 51.48798228097684, -0.21771303253431756 51.487748802384296, -0.21733805176447252 51.48753485867148, -0.21693455062392658 51.48734207807923, -0.2165056 51.48717192778427, -0.21605446446594828 51.48702570273306, -0.21558457743558865 51.48690451578655, -0.2150995150329477 51.48680928925057, -0.2146029688757982 51.486740747856565, -0.21409871798021884 51.48669941324593, -0.2135906 51.4866856, -0.21308248201978114 51.48669941324593, -0.2125782311242018 51.486740747856565, -0.2120816849670523 51.48680928925057, -0.21159662256441134 51.48690451578655, -0.2111267355340517 51.48702570273306, -0.2106756 51.48717192778427, -0.2102466493760734 51.48734207807923, -0.20984314823552747 51.48753485867148, -0.20946816746568242 51.487748802384296, -0.20912456089661635 51.48798228097684, -0.20881494358179517 51.488233517536045, -0.20854167189593673 51.4885006, -0.20830682560157632 51.48878149570989, -0.20811219202081815 51.48907406687973, -0.20795925243273472 51.48937608686628, -0.2078491707999388 51.48968525711507, -0.2077827849101251 51.48999922465383, -0.2077606 51.4903156))"
Belsize Park,"POLYGON((-0.1584639 51.55046420000001, -0.1584860849101251 51.55078057534618, -0.1585524707999388 51.55109454288494, -0.15866255243273472 51.55140371313373, -0.15881549202081816 51.55170573312028, -0.15901012560157632 51.55199830429012, -0.15924497189593673 51.55227920000001, -0.15951824358179517 51.552546282463965, -0.15982786089661635 51.55279751902317, -0.16017146746568242 51.553030997615714, -0.16054644823552747 51.55324494132853, -0.1609499493760734 51.55343772192078, -0.1613789 51.55360787221574, -0.1618300355340517 51.55375409726695, -0.16229992256441134 51.55387528421346, -0.1627849849670523 51.55397051074944, -0.1632815311242018 51.554039052143445, -0.16378578201978114 51.55408038675408, -0.1642939 51.55409420000001, -0.16480201798021885 51.55408038675408, -0.1653062688757982 51.554039052143445, -0.1658028150329477 51.55397051074944, -0.16628787743558865 51.55387528421346, -0.16675776446594828 51.55375409726695, -0.1672089 51.55360787221574, -0.16763785062392658 51.55343772192078, -0.16804135176447252 51.55324494132853, -0.16841633253431756 51.553030997615714, -0.16875993910338363 51.55279751902317, -0.1690695564182048 51.552546282463965, -0.16934282810406326 51.55227920000001, -0.16957767439842367 51.55199830429012, -0.16977230797918183 51.55170573312028, -0.16992524756726526 51.55140371313373, -0.17003532920006117 51.55109454288494, -0.17010171508987487 51.55078057534618, -0.1701239 51.55046420000001, -0.17010171508987487 51.550147824653834, -0.17003532920006117 51.549833857115075, -0.16992524756726526 51.549524686866285, -0.16977230797918183 51.549222666879736, -0.16957767439842367 51.54893009570989, -0.16934282810406326 51.54864920000001, -0.1690695564182048 51.54838211753605, -0.16875993910338363 51.54813088097684, -0.16841633253431756 51.5478974023843, -0.16804135176447252 51.547683458671486, -0.16763785062392658 51.547490678079235, -0.1672089 51.54732052778427, -0.16675776446594825 51.54717430273306, -0.16628787743558865 51.547053115786554, -0.1658028150329477 51.54695788925058, -0.1653062688757982 51.54688934785657, -0.16480201798021885 51.546848013245935, -0.1642939 51.546834200000006, -0.16378578201978114 51.546848013245935, -0.1632815311242018 51.54688934785657, -0.1627849849670523 51.54695788925058, -0.16229992256441134 51.547053115786554, -0.1618300355340517 51.54717430273306, -0.1613789 51.54732052778427, -0.1609499493760734 51.547490678079235, -0.16054644823552747 51.547683458671486, -0.16017146746568242 51.5478974023843, -0.15982786089661635 51.54813088097684, -0.15951824358179517 51.54838211753605, -0.15924497189593673 51.54864920000001, -0.15901012560157632 51.54893009570989, -0.15881549202081816 51.549222666879736, -0.15866255243273472 51.549524686866285, -0.1585524707999388 51.549833857115075, -0.1584860849101251 51.550147824653834, -0.1584639 51.55046420000001))"
Bermondsey,"POLYGON((-0.05790189999999999 51.4978636, -0.057924084910125115 51.498179975346176, -0.05799047079993882 51.498493942884934, -0.05810055243273472 51.498803113133725, -0.05825349202081815 51.499105133120274, -0.05844812560157633 51.49939770429012, -0.058682971895936714 51.4996786, -0.05895624358179517 51.49994568246396, -0.059265860896616354 51.50019691902317, -0.05960946746568242 51.50043039761571, -0.05998444823552747 51.500644341328524, -0.0603879493760734 51.500837121920775, -0.06081689999999999 51.50100727221574, -0.06126803553405172 51.50115349726695, -0.061737922564411345 51.501274684213456, -0.0622229849670523 51.50136991074943, -0.06271953112420178 51.50143845214344, -0.06322378201978114 51.501479786754075, -0.0637319 51.5014936, -0.06424001798021885 51.501479786754075, -0.06474426887579819 51.50143845214344, -0.0652408150329477 51.50136991074943, -0.06572587743558865 51.501274684213456, -0.06619576446594827 51.50115349726695, -0.0666469 51.50100727221574, -0.0670758506239266 51.500837121920775, -0.06747935176447252 51.500644341328524, -0.06785433253431757 51.50043039761571, -0.06819793910338363 51.50019691902317, -0.06850755641820482 51.49994568246396, -0.06878082810406327 51.4996786, -0.06901567439842367 51.49939770429012, -0.06921030797918185 51.499105133120274, -0.06936324756726527 51.498803113133725, -0.06947332920006116 51.498493942884934, -0.06953971508987487 51.498179975346176, -0.0695619 51.4978636, -0.06953971508987487 51.49754722465383, -0.06947332920006116 51.49723325711507, -0.06936324756726527 51.49692408686628, -0.06921030797918185 51.49662206687973, -0.06901567439842367 51.49632949570989, -0.06878082810406327 51.4960486, -0.06850755641820482 51.495781517536045, -0.06819793910338363 51.49553028097684, -0.06785433253431757 51.495296802384296, -0.06747935176447252 51.49508285867148, -0.0670758506239266 51.49489007807923, -0.0666469 51.49471992778427, -0.06619576446594827 51.49457370273306, -0.06572587743558864 51.49445251578655, -0.0652408150329477 51.49435728925057, -0.06474426887579819 51.494288747856565, -0.06424001798021885 51.49424741324593, -0.0637319 51.4942336, -0.06322378201978116 51.49424741324593, -0.0627195311242018 51.494288747856565, -0.0622229849670523 51.49435728925057, -0.061737922564411345 51.49445251578655, -0.06126803553405172 51.49457370273306, -0.06081689999999999 51.49471992778427, -0.0603879493760734 51.49489007807923, -0.05998444823552747 51.49508285867148, -0.05960946746568242 51.495296802384296, -0.059265860896616354 51.49553028097684, -0.05895624358179517 51.495781517536045, -0.05868297189593672 51.4960486, -0.05844812560157633 51.49632949570989, -0.05825349202081815 51.49662206687973, -0.05810055243273472 51.49692408686628, -0.05799047079993882 51.49723325711507, -0.057924084910125115 51.49754722465383, -0.05790189999999999 51.4978636))"
Bethnal Green (Central),"POLYGON((-0.0496546 51.5273197, -0.04967678491012512 51.52763607534617, -0.04974317079993883 51.52795004288493, -0.04985325243273473 51.52825921313372, -0.05000619202081816 51.52856123312027, -0.050200825601576335 51.528853804290115, -0.05043567189593672 51.5291347, -0.05070894358179518 51.52940178246396, -0.05101856089661636 51.529653019023165, -0.05136216746568243 51.529886497615706, -0.051737148235527476 51.53010044132852, -0.052140649376073406 51.53029322192077, -0.0525696 51.530463372215735, -0.053020735534051726 51.530609597266945, -0.05349062256441135 51.53073078421345, -0.05397568496705231 51.53082601074943, -0.0544722311242018 51.53089455214344, -0.054976482019781156 51.53093588675407, -0.0554846 51.5309497, -0.05599271798021885 51.53093588675407, -0.056496968875798206 51.53089455214344, -0.0569935150329477 51.53082601074943, -0.05747857743558865 51.53073078421345, -0.05794846446594828 51.530609597266945, -0.0583996 51.530463372215735, -0.0588285506239266 51.53029322192077, -0.05923205176447253 51.53010044132852, -0.059607032534317574 51.529886497615706, -0.05995063910338364 51.529653019023165, -0.06026025641820482 51.52940178246396, -0.06053352810406328 51.5291347, -0.06076837439842367 51.528853804290115, -0.060963007979181846 51.52856123312027, -0.061115947567265266 51.52825921313372, -0.06122602920006118 51.52795004288493, -0.06129241508987488 51.52763607534617, -0.061314600000000004 51.5273197, -0.06129241508987488 51.527003324653826, -0.06122602920006118 51.52668935711507, -0.06111594756726527 51.52638018686628, -0.060963007979181846 51.52607816687973, -0.06076837439842367 51.525785595709884, -0.06053352810406328 51.5255047, -0.06026025641820482 51.52523761753604, -0.05995063910338364 51.524986380976834, -0.059607032534317574 51.52475290238429, -0.05923205176447253 51.52453895867148, -0.058828550623926605 51.52434617807923, -0.0583996 51.524176027784264, -0.05794846446594828 51.524029802733054, -0.05747857743558865 51.523908615786546, -0.056993515032947695 51.52381338925057, -0.056496968875798206 51.52374484785656, -0.05599271798021885 51.52370351324593, -0.0554846 51.5236897, -0.054976482019781156 51.52370351324593, -0.0544722311242018 51.52374484785656, -0.05397568496705231 51.52381338925057, -0.05349062256441135 51.523908615786546, -0.053020735534051726 51.524029802733054, -0.0525696 51.524176027784264, -0.052140649376073406 51.52434617807923, -0.051737148235527476 51.52453895867148, -0.05136216746568243 51.52475290238429, -0.05101856089661636 51.524986380976834, -0.05070894358179518 51.52523761753604, -0.05043567189593673 51.5255047, -0.050200825601576335 51.525785595709884, -0.05000619202081816 51.52607816687973, -0.04985325243273473 51.52638018686628, -0.04974317079993883 51.52668935711507, -0.04967678491012512 51.527003324653826, -0.0496546 51.5273197))"
