name,WKT
Victoria,"POLYGON((-0.1269659621480091 51.497430812628664, -0.12653196333525804 51.496762923578586, -0.24226004047292124 51.39286039413122, -0.24713899454294053 51.394792657991125, -0.2632172730432884 51.402459229622366, -0.2781689185560077 51.410968929065426, -0.2918802764625418 51.42025744417166, -0.2964729947802047 51.423970172000814, -0.15645826566100776 51.508025537862416, -0.14897302647489347 51.51007741700369, -0.1269659621480091 51.497430812628664))"
Waterloo,"POLYGON((-0.10110473680536096 51.49072488259559, -0.12653196333525804 51.496762923578586, -0.1269659621480091 51.497430812628664, -0.1146645873306897 51.50940095979139, -0.10110473680536096 51.49072488259559))"
Waterloo East,"POLYGON((-0.11430518829753437 51.509969394803804, -0.0974745890166199 51.50571966037817, -0.09675406481564007 51.50500084791627, -0.0966106237738688 51.48936911750637, -0.10110473680536096 51.49072488259559, -0.1146645873306897 51.50940095979139, -0.11430518829753437 51.509969394803804))"
Blackfriars,POINT (-0.1037939 51.5116896)
Cannon Street,POINT (-0.0903167 51.511311)
Charing Cross,POINT (-0.1247557 51.5081113)
City Thameslink,POINT (-0.1033475 51.5140438)
Euston,POINT (-0.1333271 51.5280408)
Fenchurch Street,POINT (-0.07906189999999999 51.5117122)
King’s Cross,POINT (-0.1235978 51.53160339999999)
Liverpool Street,POINT (-0.0815777 51.518077)
London Bridge,POINT (-0.0848024 51.5042625)
Marylebone,POINT (-0.163173 51.5224432)
Moorgate,POINT (-0.0883927 51.5185071)
Old Street,POINT (-0.08753 51.5256641)
Paddington,POINT (-0.1765854 51.51629819999999)
St Pancras International,POINT (-0.1258659 51.5311162)
Vauxhall,POINT (-0.1227741 51.486098)
Victoria,POINT (-0.1438979 51.4952103)
Waterloo,POINT (-0.1123134 51.5031591)
Waterloo East,POINT (-0.1086914 51.5041776)
