WKT,name,group
"POINT (-0.0669747 51.5327588)",Haggerston Park,Park,
"POINT (-0.0386354 51.5367976)",Victoria Park,Park,
"POINT (-0.0152116 51.5439614)",Queen Elizabeth Olympic Park,Park,
"POINT (-0.0272155 51.5231445)",Tower Hamlets Cemetery Park,Park,
"POINT (-0.0385214 51.527158)",Mile End Park,Park,
"POINT (-0.0399735 51.5159865)",Whitehorse Road Park,Park,
"POINT (-0.0111385 51.4896341)",Millwall Park,Park,
"POINT (-0.0104424 51.4920932)",Mudchute Park and Farm,Park,
"POINT (-0.0101997 51.4971337)",St John's Park,Park,
"POINT (-0.0267493 51.49693809999999)",Sir John McDougall Gardens,Park,
"POINT (-0.0181408 51.5033446)",Jubilee Park,Park,
"POINT (0.0034045 51.5121182)",Bow Creek Ecology Park,Park,
"POINT (-0.0167206 51.5103626)",Poplar Recreation Ground,Park,
"POINT (-0.0228965 51.5097253)",Pennyfields Park,Park,
"POINT (-0.0223038 51.5150703)",Bartlett Park,Park,
"POINT (-0.0133953 51.5163301)",Langdon Park,Park,
"POINT (-0.0093482 51.5148431)",Jolly's Green,Park,
"POINT (-0.0057262 51.528813)",Three Mills Green,Park,
"POINT (-0.0158611 51.5231382)",Prospect Park,Park,
"POINT (-0.0195573 51.5236475)",Rounton Park,Park,
"POINT (-0.017791 51.5296275)",Grove Hall Park,Park,
"POINT (-0.06122979999999999 51.5255593)",Weavers Fields,Park,
"POINT (-0.06850339999999999 51.5162285)",Altab Ali Park,Park,
"POINT (-0.09374769999999999 51.5221032)",Fortune Street Park,Park,
"POINT (-0.0933268 51.5262237)",Radnor Street Open Space,Park,
"POINT (-0.0860529 51.5345749)",Shoreditch Park,Park,
"POINT (-0.09386219999999999 51.5321971)",Shepherdess Walk Park,Park,
"POINT (-0.09806550000000001 51.5315485)",Graham Street Park,Park,
"POINT (-0.1030897 51.5361933)",Islington Green,Park,
"POINT (-0.1028664 51.5492907)",Highbury Fields,Park,
"POINT (-0.1122497 51.5483081)",Paradise Park,Park,
"POINT (-0.1232907 51.5466145)",Caledonian Park,Park,
"POINT (-0.1332158 51.5469715)",Cantelowes Gardens,Park,
"POINT (-0.1483885 51.5468187)",Talacre Gardens,Park,
"POINT (-0.0623467 51.5539679)",Hackney Downs Park,Park,
"POINT (-0.0704255 51.5618788)",Stoke Newington Common,Park,
"POINT (-0.2197574 51.5206647)",Kensington Memorial Park,Park,
