WKT,name,group
"POINT (-0.1534303 51.5352875)",London Zoo,Zoo,
"POINT (-0.1565835 51.4813528)",Battersea Park Children's Zoo,Zoo,
"POINT (-0.0104424 51.4920932)",Mudchute Park and Farm,Zoo,
"POINT (-0.06743489999999999 51.5221634)",Spitalfields City Farm,Zoo,
