WKT,name,group
"POINT (-0.119506 51.501558)",SEA LIFE London Aquarium,Aquarium,
"POINT (-0.108543 51.5650092)",Fish Planet London - Finsbury,Aquarium,
"POINT (-0.1534303 51.5352875)",London Zoo,Aquarium,
