name,WKT,group
Electric Cinema White City House,"POLYGON((-0.2573210454955142 51.512608135201845, -0.2485217095235986 51.525206007822106, -0.22187510976122227 51.52407066913889, -0.2154033529528005 51.51349659530432, -0.23808655469375659 51.50179314343975, -0.2573210454955142 51.512608135201845))",Cinema
Electric Theatre,"POLYGON((-0.10841536627140369 51.505431718742145, -0.09880219807883292 51.50826377369257, -0.09214458431244442 51.484962955862, -0.09998138599870617 51.481782508525875, -0.10968641806324167 51.482791650666414, -0.11116325762511889 51.48382008755043, -0.11154897184314867 51.48455346522764, -0.10841536627140369 51.505431718742145))",Cinema
Everyman at The Whiteley,"POLYGON((-0.17228651042587279 51.50149776922864, -0.1765378967494213 51.50061814366094, -0.1968850682065911 51.51397706121937, -0.1945745511282888 51.522724911304984, -0.17335822571215626 51.518798620160695, -0.16847284838269377 51.509673641950286, -0.17228651042587279 51.50149776922864))",Cinema
Everyman Baker Street,"POLYGON((-0.16847284838269377 51.509673641950286, -0.17335822571215626 51.518798620160695, -0.16289185752446564 51.532358880267125, -0.15921667002273415 51.533526743970405, -0.14213396632858816 51.52955356322288, -0.15348044668744834 51.51324703335069, -0.16847284838269377 51.509673641950286))",Cinema
Everyman Borough Yards,"POLYGON((-0.08209908104183236 51.51126538780142, -0.06469785495379991 51.49227608814516, -0.09214458431244442 51.484962955862, -0.09880219807883292 51.50826377369257, -0.09614850442786813 51.51319133916311, -0.09172142466941034 51.5132744318523, -0.08209908104183236 51.51126538780142))",Cinema
Everyman Broadgate,"POLYGON((-0.06998629928832129 51.523748548086694, -0.08209908104183236 51.51126538780142, -0.09172142466941034 51.5132744318523, -0.08712132122618522 51.5243756290063, -0.06998629928832129 51.523748548086694))",Cinema
Everyman Canary Wharf,"POLYGON((-0.010663590408360851 51.49320377394731, -0.03570654669893387 51.490262616502726, -0.004545014492127937 51.52367246503986, -0.0001329775532034509 51.52333879733327, -0.010663590408360851 51.49320377394731))",Cinema
Everyman Chelsea,"POLYGON((-0.17228651042587279 51.50149776922864, -0.1577908407427499 51.494718376037014, -0.15569231205743578 51.492234983903245, -0.164560218866756 51.468786917369236, -0.1689343409757773 51.4661966880669, -0.1748125735782517 51.467640107915564, -0.19088940241749866 51.49490343280557, -0.1765378967494213 51.50061814366094, -0.17228651042587279 51.50149776922864))",Cinema
Everyman Hampstead,"POLYGON((-0.20639408064181644 51.555750630415154, -0.16060717140868008 51.56435274047133, -0.174616361996435 51.55155582817944, -0.20639408064181644 51.555750630415154))",Cinema
Everyman Kings Cross,"POLYGON((-0.11567118997703439 51.54764994551337, -0.11392659695465163 51.538300669173495, -0.11725233516425873 51.53093992012503, -0.14001823497265714 51.53025398135846, -0.1283217005750853 51.54827444087782, -0.11567118997703439 51.54764994551337))",Cinema
