name,WKT,group
SEA LIFE London Aquarium,"POLYGON((-0.10062897639190539 51.532386982210056, 0.011700430760900767 51.524868310470616, 0.013972129200061172 51.51457484288493, 0.014038515089874876 51.514260875346174, 0.014060699999999999 51.5139445, 0.014038515089874876 51.51362812465383, 0.013972129200061172 51.51331415711507, 0.009325629200061173 51.499614857115056, 0.009215547567265269 51.499305686866265, -0.007270052432734732 51.463899986866274, -0.007422992020818154 51.463597966879725, -0.007617625601576331 51.46330539570988, -0.007852471895936724 51.463024499999996, -0.00812574358179518 51.46275741753604, -0.00843536089661636 51.46250618097683, -0.008778967465682429 51.46227270238429, -0.009153948235527476 51.462058758671475, -0.009557449376073402 51.461865978079224, -0.0099864 51.46169582778426, -0.01043753553405172 51.46154960273305, -0.010907422564411351 51.46142841578654, -0.011392484967052308 51.46133318925057, -0.0118890311242018 51.46126464785656, -0.1013338311242018 51.449643247856564, -0.10183808201978116 51.44960191324593, -0.1023462 51.4495881, -0.1478127 51.4491465, -0.14832081798021884 51.449160313245926, -0.1488250688757982 51.44920164785656, -0.2117886688757982 51.45551004785656, -0.2122852150329477 51.45557858925057, -0.21277027743558866 51.45567381578655, -0.2132401644659483 51.455795002733055, -0.2136913 51.455941227784265, -0.2141202506239266 51.45611137807923, -0.21452375176447253 51.45630415867148, -0.21489873253431757 51.456518102384294, -0.21524233910338364 51.456751580976835, -0.21555195641820482 51.45700281753604, -0.24071861413752227 51.47780301626559, -0.10062897639190539 51.532386982210056))",Aquarium
Fish Planet London - Finsbury,"POLYGON((-0.10062897639190539 51.532386982210056, -0.15656328676102202 51.565112475980364, -0.1363824150329477 51.56890391074943, -0.0975532150329477 51.57439231074942, -0.0970566688757982 51.574460852143424, -0.09655241798021885 51.57450218675406, -0.0960443 51.57451599999999, -0.09553618201978115 51.57450218675406, -0.0950319311242018 51.574460852143424, -0.0945353849670523 51.57439231074942, -0.09405032256441134 51.57429708421344, -0.054984822564411354 51.56483158421345, -0.05451493553405173 51.56471039726694, -0.0540638 51.56456417221573, -0.006350999999999999 51.54883567221574, -0.005922049376073402 51.548665521920775, -0.005518548235527476 51.548472741328524, -0.0051435674656824274 51.54825879761571, -0.004799960896616358 51.54802531902317, 0.0011220391033836415 51.543522619023165, 0.0014316564182048218 51.543271382463956, 0.0017049281040632772 51.5430043, 0.004492628104063277 51.5398193, 0.004727474398423669 51.53953840429011, 0.009083874398423668 51.534022604290115, 0.009278507979181845 51.53373003312027, 0.009431447567265269 51.53342801313372, 0.009541529200061172 51.53311884288493, 0.010849629200061172 51.52872344288493, 0.011700430760900767 51.524868310470616, -0.10062897639190539 51.532386982210056))",Aquarium
London Zoo,"POLYGON((-0.10062897639190539 51.532386982210056, -0.24071861413752227 51.47780301626559, -0.2592310564182048 51.49310351753604, -0.25950432810406326 51.4933706, -0.25973917439842364 51.493651495709884, -0.25993380797918186 51.49394406687973, -0.26008674756726524 51.494246086866276, -0.26019682920006115 51.49455525711507, -0.2602632150898749 51.494869224653826, -0.26553111508987487 51.523142324653826, -0.2655533 51.5234587, -0.26553111508987487 51.52377507534617, -0.26546472920006114 51.52408904288493, -0.26535464756726523 51.52439821313372, -0.26520170797918186 51.52470023312027, -0.26500707439842364 51.524992804290115, -0.26477222810406326 51.5252737, -0.2644989564182048 51.525540782463956, -0.26418933910338366 51.525792019023164, -0.26384573253431753 51.526025497615706, -0.22534323253431757 51.551742097615694, -0.22496825176447252 51.55195604132851, -0.22456475062392658 51.55214882192076, -0.2241358 51.55231897221572, -0.22368466446594829 51.55246519726693, -0.22321477743558865 51.55258638421344, -0.2227297150329477 51.55268161074942, -0.15656328676102202 51.565112475980364, -0.10062897639190539 51.532386982210056))",Aquarium
SEA LIFE London Aquarium,POINT (-0.119506 51.501558),Aquarium
Fish Planet London - Finsbury,POINT (-0.108543 51.5650092),Aquarium
London Zoo,POINT (-0.1534303 51.5352875),Aquarium
