name,WKT,group
Embassy of Bosnia and Herzegovina,"POLYGON((-0.19170971734045686 51.49895811479088, -0.18646560248693447 51.496772278867745, -0.18612599065123223 51.49482739092231, -0.18619839423136983 51.4941109934865, -0.1884917098546487 51.49335534341607, -0.19878510513532088 51.490142621498116, -0.19873658271160569 51.49661802487702, -0.19288406223328566 51.4991495186944, -0.19181617320308278 51.49898018086413, -0.19170971734045686 51.49895811479088))",Consulate
"High Commission of Botswana, London","POLYGON((-0.1530514801726286 51.51348804577636, -0.1541297713249318 51.513919514987656, -0.1511910944951635 51.51827906958115, -0.15047411163705415 51.51843848994691, -0.14654141022289904 51.516486703440506, -0.14610648254791953 51.51623232860111, -0.15192990928040234 51.51355436468097, -0.1530514801726286 51.51348804577636))",Consulate
Embassy of Brazil,"POLYGON((-0.13201762115404092 51.50668680812772, -0.1306748827146771 51.50776651952191, -0.1299661485955617 51.50771633294337, -0.12957704799138706 51.507302928254774, -0.13059054305681736 51.50407206434825, -0.13077969908233 51.50407832629525, -0.13201347689162424 51.506477762141984, -0.13201762115404092 51.50668680812772))",Consulate
Brunei Darussalam High Commission,"POLYGON((-0.15373440929636592 51.49917149647429, -0.15365561724808366 51.49917937491367, -0.15363845103959428 51.49916518767641, -0.1536605836252395 51.49886499330774, -0.15457323712027454 51.49821647309962, -0.15557881791993244 51.498524699617036, -0.15373440929636592 51.49917149647429))",Consulate
Embassy of the Republic of Bulgaria,"POLYGON((-0.18084795309718849 51.50014045025383, -0.1783648510710629 51.50273168717184, -0.17727796669937868 51.50118766235792, -0.17706263815989762 51.49898108343538, -0.17872349749395627 51.499159539947264, -0.18084795309718849 51.50014045025383))",Consulate
Embassy of Burundi,"POLYGON((-0.12797023749183914 51.50799096876482, -0.12667993268739536 51.50724907901329, -0.12765098875333886 51.503523197783764, -0.13059054305681736 51.50407206434825, -0.12957704799138706 51.507302928254774, -0.12797023749183914 51.50799096876482))",Consulate
Royal Embassy of Cambodia,"POLYGON((-0.17406504063497394 51.55236082909598, -0.18496104926522558 51.54070263047306, -0.1892804922938824 51.53675539974892, -0.20682860007604448 51.53053302899283, -0.23281070126830503 51.52735429020043, -0.2472885953900234 51.5370843450434, -0.22534323253431757 51.551742097615694, -0.22496825176447252 51.55195604132851, -0.22456475062392658 51.55214882192076, -0.2241358 51.55231897221572, -0.22368466446594829 51.55246519726693, -0.22321477743558865 51.55258638421344, -0.2227297150329477 51.55268161074942, -0.1795711988155409 51.56078991752489, -0.17406504063497394 51.55236082909598))",Consulate
Cameroon High Commission London,"POLYGON((-0.20677313817386647 51.504746725415096, -0.20688103181248294 51.50051263184138, -0.21685530952995807 51.499860009035565, -0.2089087475789181 51.5060340073927, -0.2068094698628465 51.50478482154785, -0.20677313817386647 51.504746725415096))",Consulate
High Commission of Canada in the United Kingdom,"POLYGON((-0.13001691690813233 51.50819122359209, -0.12832005409113287 51.51030717777394, -0.12797023749183914 51.50799096876482, -0.12957704799138706 51.507302928254774, -0.1299661485955617 51.50771633294337, -0.13001691690813233 51.50819122359209))",Consulate
Embassy of Chile,"POLYGON((-0.13059054305681736 51.50407206434825, -0.12765098875333886 51.503523197783764, -0.11728403306423578 51.49950131634641, -0.12891409968475684 51.49892110480697, -0.13579532221062213 51.502222685085975, -0.13364429772416006 51.50363209549353, -0.13077969908233 51.50407832629525, -0.13059054305681736 51.50407206434825))",Consulate
Embassy of the People's Republic of China,"POLYGON((-0.14611736572583806 51.520891497122115, -0.14938314819980134 51.520854871586536, -0.1489716206380774 51.52310828209475, -0.14785199210533886 51.52567391213334, -0.14356868588107682 51.522244251940435, -0.1426150099678882 51.5212612538254, -0.14611736572583806 51.520891497122115))",Consulate
Embassy of Colombia,"POLYGON((-0.16067162949329122 51.50028767665367, -0.1602672862883303 51.4995954435884, -0.16357036805933753 51.49781392919653, -0.16410240426661218 51.49950488562023, -0.16067162949329122 51.50028767665367))",Consulate
General Consulate of Colombia,"POLYGON((-0.15026726090254672 51.518639927298416, -0.14977243512745028 51.51965573945832, -0.14496289619802666 51.52055049447127, -0.14215001533136196 51.52086004107705, -0.1416811487685173 51.52055751465416, -0.14353500818129028 51.519490782470676, -0.15026726090254672 51.518639927298416))",Consulate
Embassy of the Democratic Republic of the Congo,"POLYGON((-0.1277269424314176 51.52487174558913, -0.14620823008484599 51.54633810396163, -0.12586752126865633 51.54883046680447, -0.11126217268864219 51.527481385595614, -0.12402395150215624 51.52396590881328, -0.12527845985462352 51.524075431639986, -0.1277269424314176 51.52487174558913))",Consulate
Embassy of Costa Rica,"POLYGON((-0.1454990279416103 51.51592078417728, -0.14421978216643289 51.515608737353155, -0.1459928263751784 51.51222101197852, -0.14628359224920173 51.51232790743025, -0.14901127814141651 51.51360977140916, -0.1454990279416103 51.51592078417728))",Consulate
Embassy of Côte d'Ivoire,"POLYGON((-0.14388684916052977 51.49295679080299, -0.15343487302931544 51.48851398470809, -0.1545337965027832 51.49303926983899, -0.15364595412830995 51.49351290889906, -0.15145378167025586 51.49440557540227, -0.14388684916052977 51.49295679080299))",Consulate
Embassy of Croatia,"POLYGON((-0.15035290498980114 51.540261334642636, -0.15021309906241037 51.54663732429648, -0.1463288143114809 51.54634385241568, -0.13975642075351385 51.5238420892917, -0.14142119322616187 51.522944295410184, -0.14356868588107682 51.522244251940435, -0.14785199210533886 51.52567391213334, -0.15035290498980114 51.540261334642636))",Consulate
Embassy of Cuba,"POLYGON((-0.12624861772824497 51.5182653512648, -0.1207611801585754 51.51524063939055, -0.12358850144425276 51.512968470087756, -0.12864657128216625 51.51253090148927, -0.12954864048537212 51.51276308028624, -0.1276751561917135 51.51724045205755, -0.12624861772824497 51.5182653512648))",Consulate
High Commission Of The Republic Of Cyprus & Consulate-General,"POLYGON((-0.13607644555430382 51.50574626038064, -0.1374163422628257 51.50613258996986, -0.13898378168493983 51.50792623327216, -0.1349126582837204 51.50873157123068, -0.13490081806192433 51.50780786639273, -0.13607644555430382 51.50574626038064))",Consulate
Embassy of the Czech Republic,"POLYGON((-0.1990395427091914 51.507492316398185, -0.19976118602803214 51.50863396468972, -0.19663096495230736 51.51222772948651, -0.1958947502324788 51.51222880203835, -0.1929846282095804 51.50993189811594, -0.19359448317228145 51.50832436140834, -0.1981503347336408 51.50651095437238, -0.1990395427091914 51.507492316398185))",Consulate
Royal Danish Embassy,"POLYGON((-0.1633093945512069 51.49643156534603, -0.16325000946146243 51.4966865660545, -0.1597354533175485 51.498786085340626, -0.15744472007550478 51.49850752681382, -0.15740283284532514 51.498444328522694, -0.1633093945512069 51.49643156534603))",Consulate
Dominica High Commission,"POLYGON((-0.1736997728062219 51.48534243500847, -0.17256339234945275 51.471872484476094, -0.1884917098546487 51.49335534341607, -0.18619839423136983 51.4941109934865, -0.18536058179097545 51.49365434482637, -0.17961772318971475 51.49049148545268, -0.1737794283026437 51.485439884082524, -0.1736997728062219 51.48534243500847))",Consulate
Embassy of the Dominican Republic,"POLYGON((-0.18612599065123223 51.49482739092231, -0.18038247459376316 51.49559516673237, -0.18037094402251425 51.495507886187305, -0.18536058179097545 51.49365434482637, -0.18619839423136983 51.4941109934865, -0.18612599065123223 51.49482739092231))",Consulate
Embassy of Ecuador,"POLYGON((-0.1602672862883303 51.4995954435884, -0.1597354533175485 51.498786085340626, -0.16325000946146243 51.4966865660545, -0.16357036805933753 51.49781392919653, -0.1602672862883303 51.4995954435884))",Consulate
Embassy of Egypt,"POLYGON((-0.15021466144428808 51.51008080007, -0.1494155104382577 51.509824704124526, -0.14996977599489536 51.508329452073625, -0.15514387326367915 51.50559690348434, -0.15616933980461561 51.50574186697222, -0.15774061858849692 51.506407972093896, -0.16007548783217926 51.50749041808526, -0.15021466144428808 51.51008080007))",Consulate
Embassy of El Salvador,"POLYGON((-0.16127960731871718 51.52157329179766, -0.18496104926522558 51.54070263047306, -0.17406504063497394 51.55236082909598, -0.15021309906241037 51.54663732429648, -0.15035290498980114 51.540261334642636, -0.15609834333205092 51.52484189222787, -0.16006418009380108 51.521483722294676, -0.16071353689621257 51.521356718443364, -0.16127960731871718 51.52157329179766))",Consulate
