name,WKT,group
Victoria,"POLYGON((-0.15646075371963816 51.50802464394424, -0.1489707962899636 51.51007835897266, -0.12696528382038139 51.497429305034885, -0.1265328881042409 51.49676370719744, -0.2510781481199502 51.38491542344211, -0.26082124622922914 51.388774596434494, -0.27689740460835666 51.39644117222343, -0.2918470764515974 51.40495087595806, -0.30555662211244583 51.414239395360035, -0.3085761771992351 51.41668071100221, -0.15646075371963816 51.50802464394424))",Rail Station
Waterloo,"POLYGON((-0.10110683177717515 51.49072434874731, -0.1265328881042409 51.49676370719744, -0.12696528382038139 51.497429305034885, -0.11466436627711889 51.50940216996991, -0.10110683177717515 51.49072434874731))",Rail Station
Waterloo East,"POLYGON((-0.0974745219067014 51.505719058442956, -0.0967540561939644 51.50500011441519, -0.09661064585027038 51.48936759991902, -0.10110683177717515 51.49072434874731, -0.11466436627711889 51.50940216996991, -0.114305445978251 51.50996999780005, -0.0974745219067014 51.505719058442956))",Rail Station
Blackfriars,POINT (-0.1037939 51.5116896),Rail Station
Cannon Street,POINT (-0.0903167 51.511311),Rail Station
Charing Cross,POINT (-0.1247557 51.5081113),Rail Station
City Thameslink,POINT (-0.1033475 51.5140438),Rail Station
Euston,POINT (-0.1333271 51.5280408),Rail Station
Fenchurch Street,POINT (-0.07906189999999999 51.5117122),Rail Station
King’s Cross,POINT (-0.1235978 51.53160339999999),Rail Station
Liverpool Street,POINT (-0.0815777 51.518077),Rail Station
London Bridge,POINT (-0.0848024 51.5042625),Rail Station
Marylebone,POINT (-0.163173 51.5224432),Rail Station
Moorgate,POINT (-0.0883927 51.5185071),Rail Station
Old Street,POINT (-0.08753 51.5256641),Rail Station
Paddington,POINT (-0.1765854 51.51629819999999),Rail Station
St Pancras International,POINT (-0.1258659 51.5311162),Rail Station
Vauxhall,POINT (-0.1227741 51.486098),Rail Station
Victoria,POINT (-0.1438979 51.4952103),Rail Station
Waterloo,POINT (-0.1123134 51.5031591),Rail Station
Waterloo East,POINT (-0.1086914 51.5041776),Rail Station
