name,WKT,group
Wendell Park playground,"POLYGON((-0.2435097813380059 51.50611156586086, -0.2425279675225428 51.50069022200845, -0.35576295712615064 51.47956433233151, -0.3566593641125862 51.48204637632309, -0.35936912921902114 51.49455855169627, -0.3603180266469093 51.50717015754791, -0.3599871635293989 51.5122562098666, -0.2435097813380059 51.50611156586086))",Park
Cathnor Park,"POLYGON((-0.24208392534274042 51.5003612477772, -0.2425279675225428 51.50069022200845, -0.2435097813380059 51.50611156586086, -0.2431753478355804 51.50629043922416, -0.23373092089858685 51.507032084368745, -0.2327272103823045 51.50655441258776, -0.23236677610345996 51.498925011829456, -0.24208392534274042 51.5003612477772))",Park
William Church Estate Playground,"POLYGON((-0.2327272103823045 51.50655441258776, -0.22699268308209752 51.506384603618436, -0.22395707721603778 51.4996434342094, -0.22937579100967498 51.496966005337036, -0.23236677610345996 51.498925011829456, -0.2327272103823045 51.50655441258776))",Park
Shepherd's Bush Green,"POLYGON((-0.22699268308209752 51.506384603618436, -0.21259032655047472 51.51105555790467, -0.21347964918838655 51.501241575941314, -0.22395707721603778 51.4996434342094, -0.22699268308209752 51.506384603618436))",Park
Hammersmith Park,"POLYGON((-0.23373092089858685 51.507032084368745, -0.23189733983473532 51.51637108926321, -0.23143761275928956 51.516554191266536, -0.22836084095951734 51.51661710528111, -0.2120407053229142 51.51182749516833, -0.21259032655047472 51.51105555790467, -0.22699268308209752 51.506384603618436, -0.2327272103823045 51.50655441258776, -0.23373092089858685 51.507032084368745))",Park
Wormholt Park,"POLYGON((-0.2428525006775443 51.51582167749978, -0.23189733983473532 51.51637108926321, -0.23373092089858685 51.507032084368745, -0.2431753478355804 51.50629043922416, -0.2428525006775443 51.51582167749978))",Park
Trinity Way Open Space,"POLYGON((-0.2428525006775443 51.51582167749978, -0.2431753478355804 51.50629043922416, -0.2435097813380059 51.50611156586086, -0.3599871635293989 51.5122562098666, -0.3594973763147951 51.51978525516257, -0.35691196173235046 51.53230779973479, -0.35258003808318034 51.54464237229982, -0.35081606115138764 51.548158346417445, -0.2428525006775443 51.51582167749978))",Park
Wormwood Scrubs Open Space,"POLYGON((-0.23791000104485185 51.53043737967172, -0.23143761275928956 51.516554191266536, -0.23189733983473532 51.51637108926321, -0.2428525006775443 51.51582167749978, -0.35081606115138764 51.548158346417445, -0.3488538972603767 51.55206934850085, -0.23791000104485185 51.53043737967172))",Park
Little Wormwood Scrubs Recreation Ground,"POLYGON((-0.21988471275999377 51.52753557051, -0.22836084095951734 51.51661710528111, -0.23143761275928956 51.516554191266536, -0.23791000104485185 51.53043737967172, -0.22295274216481725 51.53134508892616, -0.2221548086281788 51.53090746956151, -0.21988471275999377 51.52753557051))",Park
Hyde Park,"POLYGON((-0.17991188748354903 51.49201889966754, -0.18040120175499072 51.492376898570726, -0.18643401701085988 51.51471300031235, -0.170966576543477 51.52171288967247, -0.16998902108820388 51.521591045497146, -0.15026175550216572 51.513849012934834, -0.15899515917023813 51.493372491933926, -0.17823488475877317 51.49136370264704, -0.17991188748354903 51.49201889966754))",Park
St James's Park,"POLYGON((-0.1208126871816599 51.50284443329501, -0.13148347659733822 51.49809061912951, -0.13997548606048008 51.49857956757085, -0.13710120065553835 51.50937426922497, -0.12027606426851722 51.50837435784725, -0.1208126871816599 51.50284443329501))",Park
The Green Park,"POLYGON((-0.15899515917023813 51.493372491933926, -0.15026175550216572 51.513849012934834, -0.14889527164329763 51.5139376421047, -0.13710120065553835 51.50937426922497, -0.13997548606048008 51.49857956757085, -0.15796847205644474 51.493162741428456, -0.15899515917023813 51.493372491933926))",Park
Horseferry Playground,"POLYGON((-0.11677957188064089 51.49897832298256, -0.1152721910988395 51.490150731292744, -0.12646599245960347 51.48435653804042, -0.13148347659733822 51.49809061912951, -0.1208126871816599 51.50284443329501, -0.11677957188064089 51.49897832298256))",Park
Vincent Square,"POLYGON((-0.12646599245960347 51.48435653804042, -0.12683164469393163 51.48399401669118, -0.13984404443657478 51.482901335085664, -0.15796847205644474 51.493162741428456, -0.13997548606048008 51.49857956757085, -0.13148347659733822 51.49809061912951, -0.12646599245960347 51.48435653804042))",Park
Larkhall Park,"POLYGON((-0.12447555155678583 51.466542421302506, -0.12948293063356645 51.46088708832436, -0.1311555392459094 51.461711278871185, -0.1409666432344532 51.480973592251516, -0.13984404443657478 51.482901335085664, -0.12683164469393163 51.48399401669118, -0.12134337261170412 51.479397413825374, -0.12026708219397371 51.47452505782455, -0.12250880669790498 51.46951058334265, -0.12447555155678583 51.466542421302506))",Park
Heathbrook Park,"POLYGON((-0.1409666432344532 51.480973592251516, -0.1311555392459094 51.461711278871185, -0.15281938743588894 51.4666694524751, -0.1572995746654701 51.469507865749414, -0.1409666432344532 51.480973592251516))",Park
Ruskin Park,"POLYGON((-0.09228508421097609 51.47076864925528, -0.08609099850578021 51.46738352910018, -0.08774281884121346 51.46405677957184, -0.09166113209334274 51.460783797063904, -0.09425458473650473 51.46036248628454, -0.09993733590930237 51.46451547116965, -0.10036919577773881 51.46551543234008, -0.09243486091222053 51.47080841845359, -0.09228508421097609 51.47076864925528))",Park
Greendale Playing Fields,"POLYGON((-0.0751141950225572 51.45528059471067, -0.07547446581781041 51.45128723899408, -0.09166113209334274 51.460783797063904, -0.08774281884121346 51.46405677957184, -0.0751141950225572 51.45528059471067))",Park
St Francis Park,"POLYGON((-0.07232906237706997 51.46746133519088, -0.07117852841779201 51.46653282689234, -0.0751141950225572 51.45528059471067, -0.08774281884121346 51.46405677957184, -0.08609099850578021 51.46738352910018, -0.07232906237706997 51.46746133519088))",Park
Peckham Rye Park & Common,"POLYGON((0.00816367333674424 51.39017781353967, 0.005221246229229075 51.388774596434494, -0.011859434220662803 51.38200905841522, -0.029815263789242024 51.376195637977155, -0.04851042669962114 51.37137820849997, -0.05347386631250765 51.37040444351713, -0.07547446581781041 51.45128723899408, -0.0751141950225572 51.45528059471067, -0.07117852841779201 51.46653282689234, -0.05740780375250615 51.46551525704137, -0.019754936884850235 51.43152849541767, 0.00816367333674424 51.39017781353967))",Park
Telegraph Hill Upper Park,"POLYGON((-0.03772416950164714 51.47094833092863, -0.024560933707041648 51.444421988737794, -0.019754936884850235 51.43152849541767, -0.05740780375250615 51.46551525704137, -0.053760647139489096 51.46998163040478, -0.04285078527457937 51.4729297205839, -0.03772416950164714 51.47094833092863))",Park
Cossall Park,"POLYGON((-0.057313157896935044 51.474336282649574, -0.053760647139489096 51.46998163040478, -0.05740780375250615 51.46551525704137, -0.07117852841779201 51.46653282689234, -0.07232906237706997 51.46746133519088, -0.07228053949521097 51.468237395059, -0.0652178874360744 51.47579559772147, -0.0621944713631427 51.475978084896276, -0.057313157896935044 51.474336282649574))",Park
Sumner Road Park,"POLYGON((-0.07228053949521097 51.468237395059, -0.0740537566824363 51.470373734732, -0.07390835637441692 51.47993585092549, -0.06742297082362976 51.47782229796609, -0.0652178874360744 51.47579559772147, -0.07228053949521097 51.468237395059))",Park
Central Venture Park Playground,"POLYGON((-0.0740537566824363 51.470373734732, -0.08094408936395624 51.47569260511308, -0.08098106731248571 51.47891574534055, -0.07536763126239912 51.48079654260799, -0.07390835637441692 51.47993585092549, -0.0740537566824363 51.470373734732))",Park
Brunswick Park,"POLYGON((-0.09290520579209839 51.48141575660778, -0.08098106731248571 51.47891574534055, -0.08094408936395624 51.47569260511308, -0.09228508421097609 51.47076864925528, -0.09243486091222053 51.47080841845359, -0.09458471036599267 51.472925799053, -0.09661430970373476 51.47934467926953, -0.09290520579209839 51.48141575660778))",Park
Lucas Gardens,"POLYGON((-0.07232906237706997 51.46746133519088, -0.08609099850578021 51.46738352910018, -0.09228508421097609 51.47076864925528, -0.08094408936395624 51.47569260511308, -0.0740537566824363 51.470373734732, -0.07228053949521097 51.468237395059, -0.07232906237706997 51.46746133519088))",Park
Geraldine Mary Harmsworth Park,"POLYGON((-0.10485222008527366 51.49106843236991, -0.109603653319064 51.489858360456985, -0.1152721910988395 51.490150731292744, -0.11677957188064089 51.49897832298256, -0.10364482682613414 51.49914594691661, -0.10072200265797117 51.49844980881216, -0.10060946808971687 51.49837272256708, -0.10042709035440099 51.49747760950128, -0.10485222008527366 51.49106843236991))",Park
Dickens’ Fields,"POLYGON((-0.10042709035440099 51.49747760950128, -0.10060946808971687 51.49837272256708, -0.09600348112153756 51.49958270720756, -0.09256686470189722 51.49978438734773, -0.08905007363958779 51.495485870283446, -0.08925366633726843 51.495394712263625, -0.09483472433741223 51.49530256601919, -0.10042709035440099 51.49747760950128))",Park
Salisbury Row (Park),"POLYGON((-0.08905007363958779 51.495485870283446, -0.0833760649871738 51.49609896899542, -0.08181065595169151 51.49554097586952, -0.08039417132105335 51.4924471532099, -0.08598038430137762 51.4897389000119, -0.09048114889613879 51.492037084753655, -0.08925366633726843 51.495394712263625, -0.08905007363958779 51.495485870283446))",Park
Nursery Row Park,"POLYGON((-0.09048114889613879 51.492037084753655, -0.08598038430137762 51.4897389000119, -0.08824963695214724 51.485778211156834, -0.09183994648387221 51.48403416923404, -0.0970314752166745 51.489381202290446, -0.09503657951876131 51.49086106662002, -0.09048114889613879 51.492037084753655))",Park
Surrey Square Park,"POLYGON((-0.07652073599265327 51.48563566581295, -0.08824963695214724 51.485778211156834, -0.08598038430137762 51.4897389000119, -0.08039417132105335 51.4924471532099, -0.07569351911432018 51.49041120738449, -0.0756622258565941 51.490257909040444, -0.07652073599265327 51.48563566581295))",Park
Burgess Park,"POLYGON((-0.07449233838717391 51.483351530205994, -0.07536763126239912 51.48079654260799, -0.08098106731248571 51.47891574534055, -0.09290520579209839 51.48141575660778, -0.09183994648387221 51.48403416923404, -0.08824963695214724 51.485778211156834, -0.07652073599265327 51.48563566581295, -0.07449233838717391 51.483351530205994))",Park
Leyton Square Recreation Ground,"POLYGON((-0.06742297082362976 51.47782229796609, -0.07390835637441692 51.47993585092549, -0.07536763126239912 51.48079654260799, -0.07449233838717391 51.483351530205994, -0.06379935407234745 51.48521816816839, -0.06251520041481884 51.48395290548891, -0.06742297082362976 51.47782229796609))",Park
Bird in Bush Park,"POLYGON((-0.05724713833491781 51.48174549266381, -0.0621944713631427 51.475978084896276, -0.0652178874360744 51.47579559772147, -0.06742297082362976 51.47782229796609, -0.06251520041481884 51.48395290548891, -0.05724713833491781 51.48174549266381))",Park
Brimmington Park,"POLYGON((-0.04929926264192142 51.48168124350838, -0.048447029146480365 51.480645459544455, -0.057313157896935044 51.474336282649574, -0.0621944713631427 51.475978084896276, -0.05724713833491781 51.48174549266381, -0.04929926264192142 51.48168124350838))",Park
Moxie’s Park,"POLYGON((-0.04285078527457937 51.4729297205839, -0.053760647139489096 51.46998163040478, -0.057313157896935044 51.474336282649574, -0.048447029146480365 51.480645459544455, -0.04491814616235561 51.47859086249605, -0.04285078527457937 51.4729297205839))",Park
Fordham Park,"POLYGON((-0.028467575863519876 51.47687598427083, -0.029709045333170925 51.47533395849459, -0.030124999568239202 51.47506654808582, -0.03772416950164714 51.47094833092863, -0.04285078527457937 51.4729297205839, -0.04491814616235561 51.47859086249605, -0.036828374824330073 51.480581530784974, -0.028467575863519876 51.47687598427083))",Park
Broadway Fields,"POLYGON((-0.023563973371468643 51.47164946755422, -0.029709045333170925 51.47533395849459, -0.028467575863519876 51.47687598427083, -0.027525313672082705 51.47727197453608, -0.012809378714419593 51.47511179011635, -0.023563973371468643 51.47164946755422))",Park
Brookmill Park Playground,"POLYGON((-0.019754936884850235 51.43152849541767, -0.024560933707041648 51.444421988737794, -0.024245699177979006 51.468264538862485, -0.023563973371468643 51.47164946755422, -0.012809378714419593 51.47511179011635, 0.010923236789957113 51.47466464059237, 0.09067663634282695 51.45812568724481, 0.09045850734580035 51.457699177892486, 0.0826506038670689 51.446048992380575, 0.07324750048429143 51.43486651985141, 0.06232158716487692 51.42423649153141, 0.04995662211244586 51.414239395360035, 0.036247076451597506 51.40495087595806, 0.021297404608356687 51.39644117222343, 0.00816367333674424 51.39017781353967, -0.019754936884850235 51.43152849541767))",Park
Friendly Gardens,"POLYGON((-0.030124999568239202 51.47506654808582, -0.024245699177979006 51.468264538862485, -0.024560933707041648 51.444421988737794, -0.03772416950164714 51.47094833092863, -0.030124999568239202 51.47506654808582))",Park
Dog Park,"POLYGON((-0.030124999568239202 51.47506654808582, -0.029709045333170925 51.47533395849459, -0.023563973371468643 51.47164946755422, -0.024245699177979006 51.468264538862485, -0.030124999568239202 51.47506654808582))",Park
